provinsi_id,kode_satker,nama satuankerja
1,1100,BPS Provinsi Aceh
1,1101,BPS Kabupaten Simeulue
1,1102,BPS Kabupaten Aceh Singkil
1,1103,BPS Kabupaten Aceh Selatan
1,1104,BPS Kabupaten Aceh Tenggara
1,1105,BPS Kabupaten Aceh Timur
1,1106,BPS Kabupaten Aceh Tengah
1,1107,BPS Kabupaten Aceh Barat
1,1108,BPS Kabupaten Aceh Besar
1,1109,BPS Kabupaten Pidie
1,1110,BPS Kabupaten Bireuen
1,1111,BPS Kabupaten Aceh Utara
1,1112,BPS Kabupaten Aceh Barat Daya
1,1113,BPS Kabupaten Gayo Lues
1,1114,BPS Kabupaten Aceh Tamiang
1,1115,BPS Kabupaten Nagan Raya
1,1116,BPS Kabupaten Aceh Jaya
1,1117,BPS Kabupaten Bener Meriah
1,1118,BPS Kabupaten Pidie Jaya
1,1171,BPS Kota Banda Aceh
1,1172,BPS Kota Sabang
1,1173,BPS Kota Langsa
1,1174,BPS Kota Lhokseumawe
1,1175,BPS Kota Subulussalam
2,1200,BPS Provinsi Sumatera Utara
2,1201,BPS Kabupaten Nias
2,1202,BPS Kabupaten Mandailing Natal
2,1203,BPS Kabupaten Tapanuli Selatan
2,1204,BPS Kabupaten Tapanuli Tengah
2,1205,BPS Kabupaten Tapanuli Utara
2,1206,BPS Kabupaten Toba Samosir
2,1207,BPS Kabupaten Labuhan Batu
2,1208,BPS Kabupaten Asahan
2,1209,BPS Kabupaten Simalungun
2,1210,BPS Kabupaten Dairi
2,1211,BPS Kabupaten Karo
2,1212,BPS Kabupaten Deli Serdang
2,1213,BPS Kabupaten Langkat
2,1214,BPS Kabupaten Nias Selatan
2,1215,BPS Kabupaten Humbang Hasundutan
2,1216,BPS Kabupaten Pakpak Bharat
2,1217,BPS Kabupaten Samosir
2,1218,BPS Kabupaten Serdang Bedagai
2,1219,BPS Kabupaten Batu Bara
2,1220,BPS Kabupaten Padang Lawas Utara
2,1221,BPS Kabupaten Padang Lawas
2,1222,BPS Kabupaten Labuhan Batu Selatan
2,1223,BPS Kabupaten Labuhan Batu Utara
2,1224,BPS Kabupaten Nias Utara
2,1225,BPS Kabupaten Nias Barat
2,1271,BPS Kota Sibolga
2,1272,BPS Kota Tanjung Balai
2,1273,BPS Kota Pematang Siantar
2,1274,BPS Kota Tebing Tinggi
2,1275,BPS Kota Medan
2,1276,BPS Kota Binjai
2,1277,BPS Kota Padangsidimpuan
